"gene_id","gene_symbol","log2FC_deseq2","padj_deseq2","logFC_limma_voom","padj_limma_voom","same_direction"
"ENSMUSG00000031162","Gata1",1.22257872745541,0.000816780044512381,1.28523272715035,0.00993658540862778,TRUE
"ENSMUSG00000031168","Ebp",-1.12101709729685,0.0179211231467441,-1.51404956108491,0.0386311790635735,TRUE
"ENSMUSG00000031170","Slc38a5",3.50803202458683,2.84999852645665e-61,3.50327083942468,1.97969607713094e-05,TRUE
"ENSMUSG00000031189","Aff2",9.56041384435673,4.82565590566224e-05,8.25352977984098,0.00113579117971242,TRUE
"ENSMUSG00000031196","F8",4.36101159984096,6.92126063068493e-26,4.6242917926513,0.000139516629517855,TRUE
"ENSMUSG00000031197","Vbp1",1.53121094642875,9.70208801914905e-16,1.50422878130699,0.000421246771056052,TRUE
"ENSMUSG00000031200","Mtcp1",4.998769725541,5.95549324759796e-68,4.86463071575349,1.69027304859775e-05,TRUE
"ENSMUSG00000031201","Brcc3",1.19173676307128,1.38311760364359e-06,1.09599473302144,0.00586679855935273,TRUE
"ENSMUSG00000031221","Igbp1",-1.15025140458075,4.21814325377743e-05,-1.2191276864121,0.0192365201917754,TRUE
"ENSMUSG00000031226","Pbdc1",-1.56014298448203,5.03166577643595e-06,-1.7301667363908,0.0125361375970714,TRUE
"ENSMUSG00000031239","Itm2a",-3.24225737585273,0.0192296492705355,-4.8432799684904,0.00605948331201194,TRUE
"ENSMUSG00000031264","Btk",-1.38741472505862,0.00505560183417822,-1.62321391809586,0.0213832931121032,TRUE
"ENSMUSG00000031283","Chrdl1",1.65208368275852,0.0404221022628829,5.98123395398192,0.0276954540876063,TRUE
"ENSMUSG00000031302","Nlgn3",11.5290580129878,4.79094300722776e-09,9.4692107418602,0.00032167041358573,TRUE
"ENSMUSG00000031303","Map3k15",2.93794585397576,8.48099467572817e-06,3.04945208005342,0.00808264057679885,TRUE
"ENSMUSG00000031312","Itgb1bp2",3.0293410734841,0.00719052520892158,3.76609517874195,0.0281758387714247,TRUE
"ENSMUSG00000031320","Rps4x",-1.13661382229246,7.97871942135285e-10,-1.25497166348388,0.00086641009527144,TRUE
"ENSMUSG00000031353","Rbbp7",-1.15763245301659,1.41429263453812e-09,-1.27614064126311,0.00153475133009977,TRUE
"ENSMUSG00000031355","Arhgap6",-4.1250440742838,2.06110266440016e-05,-5.54929560289096,0.00701678549767185,TRUE
"ENSMUSG00000031367","Ap1s2",1.93396564253927,6.67267025246777e-08,1.86720455113716,0.0032179548405287,TRUE
"ENSMUSG00000031377","Bmx",2.84342019343121,1.025735018452e-06,3.18320852487237,0.0034583142702189,TRUE
"ENSMUSG00000031380","Vegfd",7.34467996129255,2.46942381525166e-07,8.50913037140626,0.00239919320402054,TRUE
"ENSMUSG00000031381","Piga",2.64615095237852,5.479749737574e-23,2.55457243496713,0.00014952929624553,TRUE
"ENSMUSG00000031382","Asb11",10.0691126109419,1.62946706129465e-05,8.3225389214549,0.00152335153286418,TRUE
"ENSMUSG00000031388","Naa10",-1.11687743715627,0.000308775437319022,-1.24906646073418,0.0271661167464358,TRUE
"ENSMUSG00000031389","Arhgap4",1.1307067381351,0.000345203824384497,1.20479279269032,0.00914464633737818,TRUE
"ENSMUSG00000031391","L1cam",3.69960598478171,2.54548122922116e-06,3.93520812433505,0.0094524007968883,TRUE
"ENSMUSG00000031400","G6pdx",1.44745279719915,1.45942171675054e-09,1.42822956700489,0.00137188308414682,TRUE
"ENSMUSG00000031402","Mpp1",4.70342551515861,8.82199702175085e-90,4.65544143313614,7.01739999955818e-06,TRUE
"ENSMUSG00000031403","Dkc1",-1.02399359172765,1.98932222803739e-08,-1.13473795040072,0.00241047085133481,TRUE
"ENSMUSG00000031432","Prps1",-1.14173368030655,8.89612132159151e-05,-1.2837922410594,0.0172743589140999,TRUE
"ENSMUSG00000031444","F10",3.0603587503221,3.86340453168392e-08,3.47520220670089,0.00144415364066327,TRUE
"ENSMUSG00000031446","Cul4a",3.66017064094127,7.96936129865497e-177,3.60381502094709,1.83763164369017e-06,TRUE
"ENSMUSG00000031447","Lamp1",1.1164996077892,1.88261947279807e-07,1.08866635278107,0.00272122163353371,TRUE
"ENSMUSG00000031450","Grk1",9.61125971787986,3.79429964475435e-05,8.29512349942561,0.00104801448348656,TRUE
"ENSMUSG00000031467","Agpat5",-1.28075921864293,1.85495557431152e-07,-1.40352106270191,0.0054581011638643,TRUE
"ENSMUSG00000031478","Nek3",1.58336252258668,0.0156089382246564,1.80400785768846,0.0474534981879372,TRUE
"ENSMUSG00000031480","Thsd1",-2.44632232055004,0.0229409352892469,-5.07386677957005,0.0151673789061342,TRUE
"ENSMUSG00000031482","Slc25a15",-1.79114443594199,0.000725758435021524,-2.18112411570991,0.0357096595713167,TRUE
"ENSMUSG00000031494","Cd209a",3.04861402013304,0.00336198715482827,3.99136795458677,0.0244766615885902,TRUE
